activity,category,wh_per_unit,unit,energy_type,default_usage,source,comments
Kettle,Kettle,1200,h,electricity,,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Shower (average),Shower,?,h,electricity,0.1666666667,,
Blender,Mixer,500,h,electricity,0.01666666667,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Coffee Machine,Coffee machine,1000,h,electricity,0.01666666667,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Dishwasher,Dishwasher,1400,h,electricity,1.5,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Espresso Machine,Coffee machine,800,h,electricity,0.01666666667,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Freezer - Upright - 15 cu. ft.,Freezer,52,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Freezer - Chest - 15 cu. ft.,Freezer,45,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Fridge - 20 cu. ft. (AC),Fridge,59,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Fridge -16 cu. ft. (AC),Fridge,50,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Microwave,Microwave,1000,h,electricity,0.08333333333,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Oven - Electric,Oven,1200,h,electricity,0.5,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Toaster,Toaster,850,h,electricity,0.08333333333,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Stand Mixer,Mixer,300,h,electricity,0.03333333333,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Ceiling Fan,Fan,120,h,electricity,12,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Central Air Conditioner - 24,000 BTU NA",Air Conditioning,3800,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Central Air Conditioner - 10,000 BTU NA",Air Conditioning,3250,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Window Air Conditioner 10,000 BTU NA",Air Conditioning,900,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Window Air Conditioner 12,000 BTU NA",Air Conditioning,3250,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Washing Machine (Clothes),Washing Machine,800,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Iron,Iron,1200,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
DVD Player,DVD Player,15,h,electricity,2,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
TV - LCD,TV - LCD,150,h,electricity,2,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
TV - Plasma,TV - Plasma,200,h,electricity,2,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Video Game Console,Video Game Console,150,h,electricity,2,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
CFL Bulb - 40 Watt Equivalent,CFL Blub,11,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
CFL Bulb - 60 Watt Equivalent,CFL Blub,18,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
CFL Bulb - 75 Watt Equivalent,CFL Blub,20,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
CFL Bulb - 100 Watt Equivalent,CFL Blub,30,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Compact Fluorescent 20 Watt,Compact Fluorescent,22,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Compact Fluorescent 25 Watt,Compact Fluorescent,28,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Halogen - 40 Watt,Halogen - 40 Watt,40,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Incandescent 50 Watt,Incandescent ,50,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Incandescent 100 Watt,Incandescent ,100,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
LED Bulb - 40 Watt Equivalent,LED Bulb,10,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
LED Bulb - 60 Watt Equivalent,LED Bulb,13,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
LED Bulb - 75 watt equivalent,LED Bulb,18,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
LED Bulb - 100 Watt Equivalent,LED Bulb,23,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Desktop Computer (Standard),Desktop Computer (Standard),200,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Desktop Computer (Gaming),Desktop Computer (Gaming),500,h,electricity,2,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Laptop,Laptop,100,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
LCD Monitor,LCD Monitor,100,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Modem,Modem,7,h,electricity,24,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Printer,Printer,100,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Router,Router,7,h,electricity,24,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Smart Phone - Recharge,Smart Phone - Recharge,6,h,electricity,2,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Tablet - Recharge,Tablet - Recharge,8,h,electricity,2,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Band Saw - 14""",Saw,1100,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Belt Sander - 3""",Sander,1000,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Chain Saw - 12""",Saw,1100,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Circular Saw - 7-1/4""",Saw,900,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Circular Saw 8-1/4""",Saw,1400,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Disc Sander - 9""",Sander,1200,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Drill - 1/4""",Drill,250,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Drill - 1/2""",Drill,750,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
"Drill - 1""",Drill,1000,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Hedge Trimmer,Hedge Trimmer,450,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Weed Eater,Weed Eater,500,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Clock Radio,Clock Radio,7,h,electricity,24,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Curling Iron,Curling Iron,150,h,electricity,1,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Dehumidifier,Dehumidifier,280,h,electricity,8,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
Electric Shaver,Electric Shaver,15,h,electricity,0.1666666667,https://www.wholesalesolar.com/solar-information/how-to-save-energy/power-table,
